age,2018_A/E_LK,2018_A/E_PR,2019_A/E_LK,2019_A/E_PR,2020_A/E_LK,2020_A/E_PR,2021_A/E_LK,2021_A/E_PR,2022_A/E_LK,2022_A/E_PR,ae_avg_male,ae_avg_female
100,0.14,0.18,0.26,0.34,0.06,0.06,0.13,0.15,0.31,0.34,0.18,0.214
101,0.17,0.18,0.18,0.24,0.13,0.12,0.05,0.05,0.31,0.39,0.168,0.196
102,0.21,0.25,0.17,0.23,0.08,0.08,0.09,0.13,0.17,0.18,0.144,0.174
103,0.08,0.13,0.23,0.25,0.05,0.08,0.06,0.08,0.28,0.29,0.14,0.166
104,0.12,0.15,0.18,0.13,0.06,0.1,0.08,0.08,0.21,0.27,0.13,0.146
105,0.09,0.08,0.17,0.26,0.08,0.03,0.07,0.07,0.19,0.18,0.12,0.124
106,0.07,0.09,0.12,0.12,0.07,0.07,0.07,0.06,0.19,0.23,0.104,0.114
107,0.53,0.49,0.05,0.08,0.04,0.02,0.06,0.06,0.17,0.14,0.17,0.158
108,0.52,0.44,0.8,1.27,0.03,0.03,0.04,0.03,0.21,0.19,0.32,0.392
109,1.06,1.16,0.98,0.94,0.66,0.64,0.04,0.01,0.13,0.09,0.574,0.568
110,1.0,0.79,2.21,1.79,0.0,0.01,0.64,1.67,0.09,0.08,0.788,0.868
111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
